original_title,original_author,found_title,publication_year,journal,abstract,text_cleaned,sdg_mapping,mapping_level
Assessing Groundwater-Citarum River Interaction and Groundwater Contribution to Flooding,ArifinSc.,Assessing Groundwater-Citarum River Interaction and Groundwater Contribution to Flooding,2021.0,,"Flooding is one of the main problems in the Upper Citarum Watershed. Though it is generally accepted that it is caused by the increase of runoff during high precipitation, the contribution of groundwater discharge to the river should also be considered. However, its contribution is still little known or quantified. As a case study, groundwater and Citarum River interaction from Kertasari to Baleendah Sub-districts in West Java, Indonesia, was assessed using the SWAT-MODFLOW model. The objectives of this study are (1) to quantify the interaction between them both spatially and temporally and (2) to estimate groundwater discharge contribution to flooding. The results show that the groundwater and Citarum River interacted mostly as gaining streams with discharge rates ranged from 0 to 9,872 meter cubic per day. However, in some segments, they interacted as losing streams. Their interaction changed both spatially and temporally. The estimated groundwater discharge contribution to flooding in the Citarum River watershed is small, 2.4 to 4.1%, which confirms that the flooding is mainly caused by the high runoff. However, the small groundwater discharge contribution should still be considered in further analysis, such as flood modelling.",assessing groundwatercitarum river interaction and groundwater contribution to flooding flooding is one of the main problems in the upper citarum watershed though it is generally accepted that it is caused by the increase of runoff during high precipitation the contribution of groundwater discharge to the river should also be considered however its contribution is still little known or quantified as a case study groundwater and citarum river interaction from kertasari to baleendah subdistricts in west java indonesia was assessed using the swatmodflow model the objectives of this study are  to quantify the interaction between them both spatially and temporally and  to estimate groundwater discharge contribution to flooding the results show that the groundwater and citarum river interacted mostly as gaining streams with discharge rates ranged from  to  meter cubic per day however in some segments they interacted as losing streams their interaction changed both spatially and temporally the estimated groundwater discharge contribution to flooding in the citarum river watershed is small  to  which confirms that the flooding is mainly caused by the high runoff however the small groundwater discharge contribution should still be considered in further analysis such as flood modelling,SDG 9,Tersier
Economic development and sustainable human resources by supply chain managament in government towards in West Kalimantan Indonesia,ArifinSc.,Economic Development and Sustainable Human Resources by Supply Chain Managament in Government Towards in West Kalimantan Indonesia,2020.0,,"   The growth of global supply chains has changed the distribution of incomes across countries. Participation in these supply chains, initiated by the successful completion of low value-added manufacturing tasks, contributed to industrialisation and high rates of economic growth in several Asian developing economies. The quality of economic development and sustainable human resources in government can be seen from excellent service for the realization of a mental revolution. These qualities are demonstrated through the attitude of government officials who are friendly, polite, and a work ethic that is disciplined, productive, and innovative. But the service in   Sungai   Ambawang Kuala Village, West Kalimantan Indonesia, was allegedly not yet excellent. For this reason, the purpose of this study is to analyze excellent service leading to a mental revolution in the apparatus of Sungai Ambawang Kuala Village through a descriptive qualitative method. Data was collected through observations on the quality of services carried out by the apparatus in Sungai Ambawang Kuala Village, interviews with village heads, village secretaries, heads of government affairs, hamlet heads, and community leaders, and by collecting documents related to services in Sungai Ambawang Kuala Village. Based on research, it is known that until the end of 2016 the village profile as a village development planning document has not been realized and does not yet have clear service standards. It was found that the quality of service of the apparatus of Sungai Ambawang Kuala Village was fulfilled in the aspect of guarantee, real, empathy, and responsiveness but it was still lacking in the aspect of reliability. The conclusion of this study, to overcome the lack of service of government apparatus in serving the community, the concept of service apparatus is harmonized with the vision of a mental revolution that emphasizes the work ethic and the spirit of mutual cooperation. The recommendation given is the existence of a synergistic social movement between the government and the community in routine activities starting from the scope of the family, school to the community.",economic development and sustainable human resources by supply chain managament in government towards in west kalimantan indonesia    the growth of global supply chains has changed the distribution of incomes across countries participation in these supply chains initiated by the successful completion of low valueadded manufacturing tasks contributed to industrialisation and high rates of economic growth in several asian developing economies the quality of economic development and sustainable human resources in government can be seen from excellent service for the realization of a mental revolution these qualities are demonstrated through the attitude of government officials who are friendly polite and a work ethic that is disciplined productive and innovative but the service in   sungai   ambawang kuala village west kalimantan indonesia was allegedly not yet excellent for this reason the purpose of this study is to analyze excellent service leading to a mental revolution in the apparatus of sungai ambawang kuala village through a descriptive qualitative method data was collected through observations on the quality of services carried out by the apparatus in sungai ambawang kuala village interviews with village heads village secretaries heads of government affairs hamlet heads and community leaders and by collecting documents related to services in sungai ambawang kuala village based on research it is known that until the end of  the village profile as a village development planning document has not been realized and does not yet have clear service standards it was found that the quality of service of the apparatus of sungai ambawang kuala village was fulfilled in the aspect of guarantee real empathy and responsiveness but it was still lacking in the aspect of reliability the conclusion of this study to overcome the lack of service of government apparatus in serving the community the concept of service apparatus is harmonized with the vision of a mental revolution that emphasizes the work ethic and the spirit of mutual cooperation the recommendation given is the existence of a synergistic social movement between the government and the community in routine activities starting from the scope of the family school to the community,"SDG 17, SDG 6",Sekunder
Active and Passive Adaptation of Floating Houses (Rumah Lanting) to the Tides of the Melawi River in West Kalimantan Indonesia,Zairin Zain,"Active and passive adaptation of floating houses (Rumah Lanting) to the tides of the Melawi river in West Kalimantan, Indonesia",2021.0,,"houses or Rumah Lanting are one of the settlement cultures found in most river streams in Kalimantan and are observed to be different from several other houses in the area. They are mitigation-proof houses designed to respond to the risk of disasters usually experienced in the traditional settlements of West Kalimantan. Their structures have the ability to adapt to environmental conditions including natural disasters such as the river tides routinely experienced as a flood during the rainy season and as ebb in the dry season. This study aimed to identify the human-adaptation process existing in these floating houses through direct observation for two years during the dry and rainy seasons as well as in-depth interviews conducted with occupants of these buildings. The adaptation processes identified include the active and passive adaptation of the dwellers. The active aspect was observed from the behavior of occupants in accommodating the occurrence of disaster in the surrounding environment while the passive was identified as the physical changes implemented in the building to mitigate the disaster. The focus of this research was on some dwellings on the river banks settlement in the Melawi River near Sintang Regency of West Kalimantan Province and a qualitative approach with a case study was implemented. The samples were determined through a non-probability approach in the form of a purposive sampling method based on certain selected criteria which included the previous experience of ebb and flow of river water in the Rumah Lanting. The results showed the existence of active and passive adaptations for the dwellers of the floating houses in West Kalimantan. The active aspect observed involves the behavior of the occupants in adapting to natural disasters with the focus on the changes in the activity patterns, territory, and privacy. Meanwhile, the passive aspect showed some modifications in the architectural elements of the building such as the position, orientation, access, and function.",active and passive adaptation of floating houses rumah lanting to the tides of the melawi river in west kalimantan indonesia houses or rumah lanting are one of the settlement cultures found in most river streams in kalimantan and are observed to be different from several other houses in the area they are mitigationproof houses designed to respond to the risk of disasters usually experienced in the traditional settlements of west kalimantan their structures have the ability to adapt to environmental conditions including natural disasters such as the river tides routinely experienced as a flood during the rainy season and as ebb in the dry season this study aimed to identify the humanadaptation process existing in these floating houses through direct observation for two years during the dry and rainy seasons as well as indepth interviews conducted with occupants of these buildings the adaptation processes identified include the active and passive adaptation of the dwellers the active aspect was observed from the behavior of occupants in accommodating the occurrence of disaster in the surrounding environment while the passive was identified as the physical changes implemented in the building to mitigate the disaster the focus of this research was on some dwellings on the river banks settlement in the melawi river near sintang regency of west kalimantan province and a qualitative approach with a case study was implemented the samples were determined through a nonprobability approach in the form of a purposive sampling method based on certain selected criteria which included the previous experience of ebb and flow of river water in the rumah lanting the results showed the existence of active and passive adaptations for the dwellers of the floating houses in west kalimantan the active aspect observed involves the behavior of the occupants in adapting to natural disasters with the focus on the changes in the activity patterns territory and privacy meanwhile the passive aspect showed some modifications in the architectural elements of the building such as the position orientation access and function,SDG 9,Tersier
Space Setting Process in Floating Houses (Rumah Lanting),Zairin Zain,Space Setting Process in Floating Houses (Rumah Lanting),2021.0,,"Rumah Lanting is a floating construction house that can be found in several areas of West Kalimantan. The dwellers in Rumah Lanting have a favorable ability to adapt to their environment. They have general roles in controlling and adjusting to the changes that occur in their environment. The relationship between behavior and environment determines the adaptation process of the occupants of the floating houses. This research was conducted in the Kapuas Riverside area in the Kapuas Hulu Regency by a descriptive qualitative method. The sample was taken through a Purposive Sampling with the Behavior Mapping technique by schematics and diagrams about an area where humans carry out various activities. This study’s objective is to describe the behavior and the relationship pattern between human behavior to a specific design form. The study found a formulation of behavior and space form of the occupants in the floating houses of Kapuas Hulu Regency. First, the types of occupations affect the intensity of the duration of stay in Rumah Lanting . The duration of hours to do some activities inside the house will obliquely affect the behavior patterns, and those patterns are formulized in the formation as a space setting to the house. Second, the behavior patterns of the occupants create a centralized model of activities by making a space as a flexible and communalize.",space setting process in floating houses rumah lanting rumah lanting is a floating construction house that can be found in several areas of west kalimantan the dwellers in rumah lanting have a favorable ability to adapt to their environment they have general roles in controlling and adjusting to the changes that occur in their environment the relationship between behavior and environment determines the adaptation process of the occupants of the floating houses this research was conducted in the kapuas riverside area in the kapuas hulu regency by a descriptive qualitative method the sample was taken through a purposive sampling with the behavior mapping technique by schematics and diagrams about an area where humans carry out various activities this studys objective is to describe the behavior and the relationship pattern between human behavior to a specific design form the study found a formulation of behavior and space form of the occupants in the floating houses of kapuas hulu regency first the types of occupations affect the intensity of the duration of stay in rumah lanting  the duration of hours to do some activities inside the house will obliquely affect the behavior patterns and those patterns are formulized in the formation as a space setting to the house second the behavior patterns of the occupants create a centralized model of activities by making a space as a flexible and communalize,Tidak Teridentifikasi,Tidak Ada
The use of the biopore technique to improve soil quality and the growth of beach Casuarina plants on the reclaimed former tin mine land in Bangka Belitung Islands,Aji Ali Akbar,use of the biopore technique to improve soil quality and the growth of beach Casuarina plants on the reclaimed former tin mine land in Bangka Belitung Islands,2024.0,,"tin mining process removes soil layers so that the soil becomes dry and nutrient-poor. Reclamation of tin mining in Selingsing, Gantung Sub-district, Belitung Timur Regency, Bangka Belitung Islands Province has been carried out through revegetation using beach Casuarina plants, but plant growth is slow. On of the efforts that can be made to improve plant growth to restore land and forest conditions is using the biopore technique combined with organic litter and bioactivator solution. This study was therefore aimed to elucidate the effect of the biopore technique on soil quality and the growth of beach Casuarina on the reclaimed former tin mine land. Treatments tested were the use of bamboo biopores and without the use of bamboo biopores, with five replications in each treatment. The effect of variation was measured based on nitrogen, phosphorus, potassium, and lead contents in the root zone and plant growth (plant height and diameter). The results showed that compared to those without biopore treatment, the biopore treatment significantly increased nitrogen, phosphorus, and potassium contents by 0.67%, 2.12%, and 19%, respectively. The organic component of biopore treatment influenced the formation of metal bonds, as indicated by a decrease in lead content by 0.35%. The best plant height of 42 cm was observed in the treatment without biopore, and the best plant diameter of 2.9 cm was in the biopore treatment.",use of the biopore technique to improve soil quality and the growth of beach casuarina plants on the reclaimed former tin mine land in bangka belitung islands tin mining process removes soil layers so that the soil becomes dry and nutrientpoor reclamation of tin mining in selingsing gantung subdistrict belitung timur regency bangka belitung islands province has been carried out through revegetation using beach casuarina plants but plant growth is slow on of the efforts that can be made to improve plant growth to restore land and forest conditions is using the biopore technique combined with organic litter and bioactivator solution this study was therefore aimed to elucidate the effect of the biopore technique on soil quality and the growth of beach casuarina on the reclaimed former tin mine land treatments tested were the use of bamboo biopores and without the use of bamboo biopores with five replications in each treatment the effect of variation was measured based on nitrogen phosphorus potassium and lead contents in the root zone and plant growth plant height and diameter the results showed that compared to those without biopore treatment the biopore treatment significantly increased nitrogen phosphorus and potassium contents by   and  respectively the organic component of biopore treatment influenced the formation of metal bonds as indicated by a decrease in lead content by  the best plant height of  cm was observed in the treatment without biopore and the best plant diameter of  cm was in the biopore treatment,SDG 9,Tersier
The impact of traditional gold mining on land use changes and vegetation index in Mandor Subwatershed West Kalimantan,Aji Ali Akbar,"The impact of traditional gold mining on land use changes and vegetation index in Mandor Subwatershed, West Kalimantan",2023.0,,"gold mining activities altered the environmental structure of the Mandor Subwatershed significantly. The expansion of critical land in the Mandor Subwatershed causes flooding due to the lack of water catchment areas. The purpose of this study was to identify the impact of traditional gold mining on land use change in the Mandor Subwatershed. The research was conducted with a spatial analysis approach using Landsat multitemporal images from 2002, 2013, and 2022, followed by a field survey. A comparison of the Normalized Difference Vegetation Index (NDVI) and the Enhanced Vegetation Index (EVI) methods was used to determine the changing process of vegetation density. The accuracy of vegetation index analysis indicated that the EVI method was more accurate for identifying vegetation density than the NDVI method. Land use change from 2002 to 2022 was dominated by an increase in the land area devoted to mining and oil palm plantations. The impact of this traditional gold mining has led to significant deforestation and land degradation over the past 20 years in the Mandor Subwatershed. This affects the condition of the surrounding environment as well as human health.",the impact of traditional gold mining on land use changes and vegetation index in mandor subwatershed west kalimantan gold mining activities altered the environmental structure of the mandor subwatershed significantly the expansion of critical land in the mandor subwatershed causes flooding due to the lack of water catchment areas the purpose of this study was to identify the impact of traditional gold mining on land use change in the mandor subwatershed the research was conducted with a spatial analysis approach using landsat multitemporal images from   and  followed by a field survey a comparison of the normalized difference vegetation index ndvi and the enhanced vegetation index evi methods was used to determine the changing process of vegetation density the accuracy of vegetation index analysis indicated that the evi method was more accurate for identifying vegetation density than the ndvi method land use change from  to  was dominated by an increase in the land area devoted to mining and oil palm plantations the impact of this traditional gold mining has led to significant deforestation and land degradation over the past  years in the mandor subwatershed this affects the condition of the surrounding environment as well as human health,Tidak Teridentifikasi,Tidak Ada
The impact of soil and rock mining on freshwater provisioning services in Peniraman Village Mempawah Regency West Kalimantan,Aji Ali Akbar,"The impact of soil and rock mining on freshwater provisioning services in Peniraman Village, Mempawah Regency, West Kalimantan",2022.0,,"human activities can affect ecosystem services, including mining activities. Since 1960, Peniraman Village has been known for its soil and rock mining. Mining increases the risk of environmental degradation by increasing the demand for freshwater provisioning services. This study aims to assess the impact of damage from mining in Peniraman Village on groundwater potential and the environment's carrying capacity based on ecosystem service. Ecosystem services are analyzed using two determinants: land cover and landscape, with a spatial method. This study resulted in a large forest change between 1972 and 2020, which was estimated to lose 16.5 hectares of forest each year, whereas Peniraman Village will lose its forest in 26 years. There was also a land conversion in primary swamp forests into open land for various community activities from 1972-2020, mostly agriculture, settlement, and plantation. On the other hand, the mining area will be exhausted in 30-40 years given the current mining rate. These actions shifted the class of groundwater provisioning services from very high to very low. The water potential was calculated based on the ecosystem services that have intermediate and low-level class potential in Peniraman Village of 1,077.98 hectares, or 48.15% of the total area. Although 48.6 percent of the Peniraman Village area is still within the safe level for water availability based on supply and demand, the government and community should pay close attention to this issue to avoid further harm.",the impact of soil and rock mining on freshwater provisioning services in peniraman village mempawah regency west kalimantan human activities can affect ecosystem services including mining activities since  peniraman village has been known for its soil and rock mining mining increases the risk of environmental degradation by increasing the demand for freshwater provisioning services this study aims to assess the impact of damage from mining in peniraman village on groundwater potential and the environments carrying capacity based on ecosystem service ecosystem services are analyzed using two determinants land cover and landscape with a spatial method this study resulted in a large forest change between  and  which was estimated to lose  hectares of forest each year whereas peniraman village will lose its forest in  years there was also a land conversion in primary swamp forests into open land for various community activities from  mostly agriculture settlement and plantation on the other hand the mining area will be exhausted in  years given the current mining rate these actions shifted the class of groundwater provisioning services from very high to very low the water potential was calculated based on the ecosystem services that have intermediate and lowlevel class potential in peniraman village of  hectares or  of the total area although  percent of the peniraman village area is still within the safe level for water availability based on supply and demand the government and community should pay close attention to this issue to avoid further harm,SDG 16,Sekunder
Strategy for realizing regional rural water security on tropical peatland,Aji Ali Akbar,Strategy for Realizing Regional Rural Water Security on Tropical Peatland,2021.0,,"the need for clean water and proper sanitation is, globally, a basic human requirement, and Indonesia is no exception. Clean water and adequate sanitation are the sixth goal of the Sustainable Development Goals (SDGs), and targets include to ensure the availability of clean water and sustainable sanitation for all by 2030. The achievement of targets in water supply and sanitation in Indonesia is still lagging behind other fields. There are differences in the ease of obtaining access to clean water sources in urban and rural areas, especially for rural communities living on peatlands who experience issues in being provided with clean water. The difficulty is that, even though the amount of available water is relatively large, its quality is low. Barriers to the equitable distribution of services by the government to the entire community are caused by the limited availability of funding, the geographical conditions of scattered settlements, and the limited capacity of human resources. As a result of this problem, it is necessary to formulate a management strategy for providing access to clean water and sanitation for rural communities on peatlands. This research uses the case-study method. The management strategy was formulated on the basis of the environmental and socioeconomic conditions of the community. This method was used to test the effectiveness of the formulated strategy in realizing water security on peatlands in the village of Wajok Hilir. The resulting management strategy can be applied to other villages that have the same land characteristics. The strategy to realize water security for rural communities on peatlands is a self-service strategy. The implementation of the self-service strategy needs to be supported by infrastructure in the form of peat water treatment plant buildings, wells drilled to aquifer depths, and canal blocking to control the groundwater level in peatlands. The management strategy is carried out with community participation, considering that peatlands are a potential water source to meet clean water needs and achieve sustainable water security targets. Efforts to implement the self-service strategy are carried out with these methods: (1) socialization carried out in an integrated manner, (2) infrastructure development as a pilot project, (3) providing knowledge about infrastructure operations, (4) providing temporary assistance to the community, and (5) providing material supplies so that rural communities that are partners can become pioneers of similar movements.",strategy for realizing regional rural water security on tropical peatland the need for clean water and proper sanitation is globally a basic human requirement and indonesia is no exception clean water and adequate sanitation are the sixth goal of the sustainable development goals sdgs and targets include to ensure the availability of clean water and sustainable sanitation for all by  the achievement of targets in water supply and sanitation in indonesia is still lagging behind other fields there are differences in the ease of obtaining access to clean water sources in urban and rural areas especially for rural communities living on peatlands who experience issues in being provided with clean water the difficulty is that even though the amount of available water is relatively large its quality is low barriers to the equitable distribution of services by the government to the entire community are caused by the limited availability of funding the geographical conditions of scattered settlements and the limited capacity of human resources as a result of this problem it is necessary to formulate a management strategy for providing access to clean water and sanitation for rural communities on peatlands this research uses the casestudy method the management strategy was formulated on the basis of the environmental and socioeconomic conditions of the community this method was used to test the effectiveness of the formulated strategy in realizing water security on peatlands in the village of wajok hilir the resulting management strategy can be applied to other villages that have the same land characteristics the strategy to realize water security for rural communities on peatlands is a selfservice strategy the implementation of the selfservice strategy needs to be supported by infrastructure in the form of peat water treatment plant buildings wells drilled to aquifer depths and canal blocking to control the groundwater level in peatlands the management strategy is carried out with community participation considering that peatlands are a potential water source to meet clean water needs and achieve sustainable water security targets efforts to implement the selfservice strategy are carried out with these methods  socialization carried out in an integrated manner  infrastructure development as a pilot project  providing knowledge about infrastructure operations  providing temporary assistance to the community and  providing material supplies so that rural communities that are partners can become pioneers of similar movements,SDG 17,Sekunder
Potentials of mangrove ecosystem as storage of carbon for global warming mitigation,Aji Ali Akbar,Potentials of mangrove ecosystem as storage of carbon for global warming mitigation,2020.0,,"Dinilhuda A, Akbar AA, Jumiati, Herawati H. 2020. Potential of mangrove ecosystem as carbon storage for global warming mitigation. Biodiversitas 21: 5353-5362. The mangrove ecosystem in Karimunting Bay of West Kalimantan, Indonesia is one of the conservation areas with an area of 138.2 ha. Vegetation making up of that mangrove ecosystem is dominated by Avicennia marina. The existence of mangroves has a role in carbon storage. The ability to store carbon in mangrove forest ecosystems is four times greater than in other tropical forests around the world. Mangrove stems have the greatest ability in storing carbon by up to 55.52%. The research objective was to analyze the potential for carbon storage in the fringe mangrove ecosystem which was dominated by A. marina. This research method is based on a survey of vegetation density in the field. The survey was carried out in Karimunting Bay in three parts of the bay, north, central, and south. Each part of the bay consists of two locations, namely at the front of the breakwater towards the sea and behind the breakwater towards the land. Each location consisted of a plot of 10 x 10 with five replications. The vegetation parameters measured are the types of growth forms, the mangrove ecosystem species, and the diameter and height of the trees, as well as environmental parameters (pH, temperature, and salinity). Destructive method was used on A. marina stems for estimating analysis of mangrove carbon storage in the laboratory. A. marina stem samples were used to test the carbon content with LOI (Lost on Ignition) analysis. Analysis of changes in mangrove area is based on the 2009 and 2019 landscape images. The results show that the mangrove ecosystem of Karimunting Bay has a total density of 177,480 individuals/ha. The amount of carbon storage reached 99,231 mg/ha in 2019 and predictions of total carbon storage over the last 10 years are as much as 13,717,951 tons. Deposits of carbon in fringe mangrove illustrate the carbon dioxide absorption potential of 36,390,608 tons of CO2. The amount of CO2 absorption in fringe mangrove ecosystem type plays a role in reducing greenhouse gas (GHG) emissions with a conditional target according to the Nationally Determined Contribution (NDC) in 2030 of 834 million tons of CO2 to prevent temperature increases.",potentials of mangrove ecosystem as storage of carbon for global warming mitigation dinilhuda a akbar aa jumiati herawati h  potential of mangrove ecosystem as carbon storage for global warming mitigation biodiversitas   the mangrove ecosystem in karimunting bay of west kalimantan indonesia is one of the conservation areas with an area of  ha vegetation making up of that mangrove ecosystem is dominated by avicennia marina the existence of mangroves has a role in carbon storage the ability to store carbon in mangrove forest ecosystems is four times greater than in other tropical forests around the world mangrove stems have the greatest ability in storing carbon by up to  the research objective was to analyze the potential for carbon storage in the fringe mangrove ecosystem which was dominated by a marina this research method is based on a survey of vegetation density in the field the survey was carried out in karimunting bay in three parts of the bay north central and south each part of the bay consists of two locations namely at the front of the breakwater towards the sea and behind the breakwater towards the land each location consisted of a plot of  x  with five replications the vegetation parameters measured are the types of growth forms the mangrove ecosystem species and the diameter and height of the trees as well as environmental parameters ph temperature and salinity destructive method was used on a marina stems for estimating analysis of mangrove carbon storage in the laboratory a marina stem samples were used to test the carbon content with loi lost on ignition analysis analysis of changes in mangrove area is based on the  and  landscape images the results show that the mangrove ecosystem of karimunting bay has a total density of  individualsha the amount of carbon storage reached  mgha in  and predictions of total carbon storage over the last  years are as much as  tons deposits of carbon in fringe mangrove illustrate the carbon dioxide absorption potential of  tons of co the amount of co absorption in fringe mangrove ecosystem type plays a role in reducing greenhouse gas ghg emissions with a conditional target according to the nationally determined contribution ndc in  of  million tons of co to prevent temperature increases,"SDG 14, SDG 15",Primer
Water table evaluation post the construction of canal blocks on peatland in West Kalimantan Indonesia,Aji Ali Akbar,"Water table evaluation post the construction of canal blocks on peatland in West Kalimantan, Indonesia",2018.0,,"canal network is the first step to do agricultural practice in wetlands that aims to make the wetland dry. The existence of canal network affects the hydrological function of peat ecosystem in West Kalimantan which leads to drought and peatland fires during dry season. Canal network on peatlands causes the previously stagnant water to flow out easily through the canal. Therefore, a repressive effort is required to maintain water table in peatland. A countermeasure that has been applied to restore peat is by constructing canal blocks on the established canals. The objective of this study was to assess and evaluate changes in water table in peatlands after the construction of a canal block in Wajok Hilir Village, Mempawah Regency, West Kalimantan. Based on the water table evaluation result on peatland with and without blocked canal, it is identified that peatland surrounding blocked canal had smaller water table fluctuation than the peatland surrounding unblocked canal during 1 tidal period. This research concludes that the construction of canal block helps retain water longer in peatland so that water table can be maintained in short term and is expected to restore hydrological function of peatland in the long term.",water table evaluation post the construction of canal blocks on peatland in west kalimantan indonesia canal network is the first step to do agricultural practice in wetlands that aims to make the wetland dry the existence of canal network affects the hydrological function of peat ecosystem in west kalimantan which leads to drought and peatland fires during dry season canal network on peatlands causes the previously stagnant water to flow out easily through the canal therefore a repressive effort is required to maintain water table in peatland a countermeasure that has been applied to restore peat is by constructing canal blocks on the established canals the objective of this study was to assess and evaluate changes in water table in peatlands after the construction of a canal block in wajok hilir village mempawah regency west kalimantan based on the water table evaluation result on peatland with and without blocked canal it is identified that peatland surrounding blocked canal had smaller water table fluctuation than the peatland surrounding unblocked canal during  tidal period this research concludes that the construction of canal block helps retain water longer in peatland so that water table can be maintained in short term and is expected to restore hydrological function of peatland in the long term,SDG 9,Tersier
The coevolution of interconnected relationship strategies in supply networks,Mohamad Sofitra,The coevolution of interconnected relationship strategies in supply networks,2014.0,,"network (SN) complexity is the main challenge for managers in predicting the consequences of their firm's relationship strategy decisions. The number of relationships and their interconnectedness constitute SN complexity and moreover, a firm's relationships inside an SN are coevolved. It is, therefore, important to investigate how a specific relationship strategy has connected and coevolved with other types of relationship strategies in the context of a specific business situation and the interaction policies of firms. What kind of attractors of interconnected relationships will emerge?To address these issues, we model firms' interactions inside an SN using cellular automata and complex adaptive system perspectives. Several micro-rules that mimic the drivers and mechanisms of all archetypes of relationship strategies (i.e. cooperation, defection, competition and co-opetition) were programmed inside agents. Experiments using the prisoner's dilemma game reward schemes, representing business situation factors, have been built and the results show that the coevolution of interconnected relationship strategies coevolution causes the emergence of interesting attractors.",the coevolution of interconnected relationship strategies in supply networks network sn complexity is the main challenge for managers in predicting the consequences of their firms relationship strategy decisions the number of relationships and their interconnectedness constitute sn complexity and moreover a firms relationships inside an sn are coevolved it is therefore important to investigate how a specific relationship strategy has connected and coevolved with other types of relationship strategies in the context of a specific business situation and the interaction policies of firms what kind of attractors of interconnected relationships will emergeto address these issues we model firms interactions inside an sn using cellular automata and complex adaptive system perspectives several microrules that mimic the drivers and mechanisms of all archetypes of relationship strategies ie cooperation defection competition and coopetition were programmed inside agents experiments using the prisoners dilemma game reward schemes representing business situation factors have been built and the results show that the coevolution of interconnected relationship strategies coevolution causes the emergence of interesting attractors,SDG 9,Tersier
Strength Enhancement Ductility and Confinement Effectiveness Index of Fly Ash-based Geopolymer Concrete Square Columns,Herwani,"Strength Enhancement, Ductility, and Confinement Effectiveness Index of Fly Ash-based Geopolymer Concrete Square Columns",2022.0,,"concrete is an environmentally friendly construction material that has the potential to be applied in building structures. It is important to understand the structural behavior of geopolymer concrete. This paper presents an experimental investigation into the performance of structural elements of geopolymer concrete under concentric axial loads. The specimens were twelve square columns with a size of 170 x 170 mm and a height of 480 mm. The study variables were the tie spacing and the compressive strength of unconfined geopolymer concrete (f’c). The test results showed that the increase in f'cc was not as significant as the increase in unconfined concrete compressive strength (f'c). The value of strength enhancement (K) tended to decrease. The column ductility (m) and confinement effectiveness index (Ic) had optimum values. The effect of increasing the tie spacing (s) decreased the K, Ic, and m values of the column. The proposed f’cc formulation for geopolymer concrete is compatible.",strength enhancement ductility and confinement effectiveness index of fly ashbased geopolymer concrete square columns concrete is an environmentally friendly construction material that has the potential to be applied in building structures it is important to understand the structural behavior of geopolymer concrete this paper presents an experimental investigation into the performance of structural elements of geopolymer concrete under concentric axial loads the specimens were twelve square columns with a size of  x  mm and a height of  mm the study variables were the tie spacing and the compressive strength of unconfined geopolymer concrete fc the test results showed that the increase in fcc was not as significant as the increase in unconfined concrete compressive strength fc the value of strength enhancement k tended to decrease the column ductility m and confinement effectiveness index ic had optimum values the effect of increasing the tie spacing s decreased the k ic and m values of the column the proposed fcc formulation for geopolymer concrete is compatible,SDG 9,Tersier
Penilaian Pengetahuan Penugasan Dalam Pembelajaran di Sekolah,Herwani,Penilaian Pengetahuan Penugasan Dalam Pembelajaran di Sekolah,2021.0,,"pengetahuan merupakan penilaian untuk mengukur kemampuan siswa yang meliputi pengetahuan faktual, konseptual, prosedural, dan metakognitif serta kecakapan berpikir tingkat rendah hingga tinggi. Penugasan adalah pemberian tugas kepada siswa untuk mengukur atau memfasilitasi siswa memperoleh atau meningkatkan pengetahuan. Penugasan yang berfungsi untuk penilaian dilakukan setelah proses pembelajaran Sedangkan penugasan sebagai metode penugasan bertujuan untuk meningkatkan pengetahuan yang diberikan sebelum atau selama proses pembelajaran (assessment for learning). Tugas dapat dikerjakan baik secara individu maupun kelompok sesuai karakteristik tugas yang diberikan, yang dilakukan di sekolah, di rumah, dan di luar sekolah. Pada prinsipnya, penilaian melalui pendekatan penugasan adalah menilai hasil (produk) dari penugasan tersebut ada beberapa faktor yang harus diperhatikan dalam penilaian pengetahuan penugasan: 1) perencanaan penugasan, 2) pelaksanaan penugasan, 3) acuan kualitas tugas, 4) instrumen, dan 5) hasil penilain penugasan.",penilaian pengetahuan penugasan pembelajaran sekolah pengetahuan merupakan penilaian mengukur kemampuan siswa meliputi pengetahuan faktual konseptual prosedural metakognitif kecakapan berpikir tingkat rendah hingga tinggi penugasan pemberian tugas siswa mengukur memfasilitasi siswa memperoleh meningkatkan pengetahuan penugasan berfungsi penilaian dilakukan proses pembelajaran penugasan metode penugasan bertujuan meningkatkan pengetahuan diberikan atau selama proses pembelajaran assessment for learning tugas dikerjakan baik individu maupun kelompok sesuai karakteristik tugas diberikan dilakukan sekolah rumah di luar sekolah prinsipnya penilaian melalui pendekatan penugasan menilai hasil produk penugasan tersebut beberapa faktor harus diperhatikan penilaian pengetahuan penugasan  perencanaan penugasan  pelaksanaan penugasan  acuan kualitas tugas  instrumen  hasil penilain penugasan,SDG 4,Primer
